review,sentiment
"Wallace and Gromit are the main characters in some of the best cartoons ever crafted. The excellent mix of visual humor and claymation makes ""A Grand Day Out,"" ""The Wrong Trousers,"" and also ""A Close Shave"" some of the best animated footage ever put on television. Winning several Oscars and also countless other awards, Nick Park became quite the popular man in the U.K., yet his impact on the United States has not been big. After the third Wallace and Gromit short, there was all this speculation about a full-length Wallace and Gromit movie, yet for years nothing had happened. Then in 2000 instead of a full-length Wallace and Gromit film, we get another brilliant claymation film from Nick Park, which was Chicken Run, which almost got nominated for best picture in the Academy Awards. Perhaps it was the success of this film that ultimately drove Park to finally work on a Wallace and Gromit project.<br /><br />5 years later (these kinds of films do take long you know) and a lot of anticipation, Wallace and Gromit finally hits the big screen. Despite the rather weak trailers and marketing campaign, this movie delivers in so many ways. This film will be a delight for both kids and parents. With tons of adult humor hidden beneath the brilliant animation, Wallace and Gromit: Curse of the Were-Rabbit is one of the few films that perfectly manages to equally appeal to both kids and adults. This rather difficult technique is one that only Pixar has already perfected and DreamWorks has had a lot of trouble doing lately. Despite the DreamWorks logo slapped onto the poster, this film is mainly from the very creative staff of Aardman Animations.<br /><br />Wallace and Gromit are first seen running a business that protects the townspeople's crops from being ruined by rabbits, which apparently had been running around wild and in great numbers lately. Their business has gotten them plenty of respect from the others living in the town because a gigantic vegetable contest was rapidly approaching and the crops needed protection. Complications arise when Wallace attempts to manipulate the rabbits into not liking vegetables and then a great eating machine is unleashed on the area. It is up to Wallace and Gromit to find the gigantic animal and stop it from eating away through gardens and also their approval from the townspeople. To add to that, Wallace wants to impress Lady Tottington, which also captured the attention of a snobby suitor by the name of Victor. Simple plot yes, but there is more than meets the eye, be prepared for a few fun surprises along the way, kind of like in the other Wallace and Gromit cartoons.<br /><br />In animated films with little dialogue, it is the animation that has to set the pacing and the mood of the film. Despite requiring 5 years to produce only 85 minutes of footage, the payoff is fantastic. There is a massive amount of detail that requires more than one viewing to truly notice. Even more incredible than the detailed and nearly flawless animation is the truly unspeakable amount of visual humor put into the film. Whether it is a creatively placed shot or normal labels put into the funniest position possible, or it is the oh-so-adorable rabbits that is constantly shown in the film, most Curse of the Were-Rabbit's humor comes strictly from just watching the movie itself and catching all the references before it is too late. Just picture the movie Madagascar, except funnier much fewer pop culture references, and better animation.<br /><br />Casting was great, even though in a film with not much dialogue, it was not that important. Peter Sallis yet again does a wonderful job as Wallace, even though in this movie there was no stand-out quote that can be used anytime (The Wrong Trousers: ""It's the wrong trousers Gromit, and they've gone wrong!""). Ralph Fiennes does a superb job as the lead villain Victor and also Helena Bonham Carter (known as the crazy female lead in the cult hit ""Fight Club"") lends her lovely voice as she plays Wallace's love interest. Even though nothing could top the final chase in ""The Wrong Trousers,"" Curse of the Ware-Rabbit did have plenty of action scenes, including one fantastically done chase scene between Gromit and Victor's evil dog. Last but not least, the rabbits really steal the show at some moments. Whether it is their cute expressions, their funny movements, or their howling, the rabbits in the film even take some of the glory from the main stars. The funniest rabbit in the movie is the ""cursed"" rabbit himself, to the very end of the movie he had the audience rolling in laughter.<br /><br />Bottom Line: Despite not being as memorable as ""The Wrong Trousers"", this film is just as good and entertaining as Chicken Run. Unlike almost every movie to come out this year, the movie does not drag at all, clocking in at a short 85 minutes yet containing so much joy and fun, it will leave everyone watching it asking for more. There is very little wrong with the film; it was a pure delight to watch. This film is a total contrast of the decent yet vulgar, uncut, raw movies that have made a surprising amount of money earlier this year (40-Year-Old Virgin, Wedding Crashers, and Sin City) and for families and those who want harmless entertainment; that is a good thing. Highly recommend, this is the top animated movie to come out this year and among the best we have seen this decade. Wallace and Gromit: Curse of the Were-Rabbit: totally harmless fun from second 1 to second 5,100.",positive
"I watched this film because I noticed that it had Kari Wuhrer in the cast. I have long had a theory about her, that she is a talented actress, but never seems to get to prove that, because she is always in this sort of low-budget B movie. She is still beautiful, and she is still trying to act over the unfortunate material I always see her in. This is no different. The film is often ugly and disturbing, but that doesn't make it good. George Wendt played against type, and that was so jarring that he gets recognition for his role. Another note about Ms. Wuhrer. Her breasts seem to have shrunk markedly since I saw her last. Perhaps reduction surgery, or (more likely) removal of implants. This NOT a bad thing. She still looks great. I would like to see her in a better movie.",negative
"Dolph Lundgren is back! Detention marks Dolphs first film in nearly 2 years, and that is following the delayed Hidden Agenda. This film still marks an improvement for Dolph over his cheapie trilogy of Jill Rips, Agent Red and Stormcatcher. However this film is well below the standard of Hidden Agenda, which was better in almost every respect. What this film does have in it's favour from Dolph's previous outing, is a sense of cheesy fun. The film also has a rejuvenated Dolph back in a high action role, and it's good to see Dolph doing his own stunts again.<br /><br />The films story is ludicrous and prime B-movie material. An ex-military man is now a teacher and on his last day of teaching, whilst taking a Detention class, he runs into some Slovakian bad guys who have taken over the school to use as cover for a big drug deal. The film has no originality but in a movie of this type you need to have a sense of fun with all the cliches. If you take it too seriously the audience will find little to enjoy. Thankfully the filmmakers don't take matters too seriously and along with all the action cliches you can think of and the predictability, this film has a so bad it's enjoyable kind of vibe.<br /><br />Where the film is let down is miss-using a fairly decent budget. The budget of around 10 million has not been well spent. It's all up on screen with plenty of carnage and big explosions but a lot of the shootouts lack imagination. The opening action is okay but after that the good moments become more sparse. There are some good moments. You have a car careering through school hallways for example and a decent shootout at the beginning, with plenty of destruction. The rest of the shootouts are fairly mechanical but there is plenty going on onscreen. <br /><br />As for the cast. Hidden Agenda boasted the best cast Dolph has worked with in ages. There was a good standard of actors for a DTV film. This however has problems. The actors are on the most part bad. The bad guys are terrible, but the lead bad guy has a kind of enjoyable cheesiness because Alex Karsis plays it so over the top and without the hint of any menace that you can laugh at the pure badness. The teenagers of the piece are actually good but they are playing such cliched characters. They all hate authority, each other and all have bad attitudes and of course by the end they learn important life lessons, but generally they are decent and Chris Collins in particular has a likeability. This movie is all about Dolph though. While this film is nowhere near his best, it is nowhere near his worst. It also marks a turning point in his career. He is now back in good shape, and will be in even better shape in his next film Direct Action. Dolph looks enthusiastic here, he does all his own stunts and it is good to see him play the typical action man (running from explosions in slow-mo, one liners, and handling large weapons) again in a movie like his older ones, albeit with less flair and imagination than cliched films like Army Of One. It is good to see Dolph looking energised. His films of the last 8 or so years have seen Dolph looking a little more weary, and using doubles a lot (he still does all the fights himself though) but the new streamlined Dolph seems up for it.<br /><br />Overall this is watchable if only for the cheese value and Dolph in prime action man mode. There's not a single surprise but it has a laughably inept kind of charm. **",positive
"Put simply, this mini-series was terrible. Let me count the ways. 1. Absurd plotting. 2. Over-acting. 3. Scattershot approach to characters. 4. Annoying narration. 5. Inability to create viewer interest.<br /><br />This film can't even pass the ""Soap Opera for Dummies"" test. I'm sorry I have not read this award-winning novel, so I am judging it only as a film, but it really stinks. Imagine going to a party where they show you dozens of appetizers. You look at the wide variety and want to taste them, but suddenly they are withdrawn, and you wonder where they went. That's like this film, with way too many characters introduced and never drawn out. There are enough stories and characters in this film to create a 20 episode series, yet we are given less than four hours to digest it all.<br /><br />There are more facial expressions and reaction shots of Ed Harris than you'll find on 10,000 monkeys. The pace is extraordinarily slow. <br /><br />Dennis Farina and Helen Hunt are so far over-the-top that their characters are not believable. Joanne Woodward's character is one-dimensional. <br /><br />The persistent river metaphor becomes trite.<br /><br />And, probably the most absurd part of the film--the cat. This evil and vengeful cat who follows the hero around to scratch him and his seat covers--well, come on now---it's not even good Stephen King!<br /><br />Probably the most interesting character in the film, and one who is not drawn well, is John Voss, the disturbed boy whose final act of desperation accounts for the only plot device that works in this film.<br /><br />Just about everyone in this film is unbelievable.<br /><br />To sum up, there's little here to inspire. The drama is poor melodrama. It's just a terrible effort.",negative
"When I first saw this film in cinema 11 years ago, I loved it. I still think the directing and cinematography are excellent, as is the music. But it's really the script that has over the time started to bother me more and more. I find Emma Thompson's writing self-absorbed and unfaithful to the original book; she has reduced Marianne to a side-character, a second fiddle to her much too old, much too severe Elinor - she in the movie is given many sort of 'focus moments', and often they appear to be there just to show off Thompson herself.<br /><br />I do understand her cutting off several characters from the book, but leaving out the one scene where Willoughby in the book is redeemed? For someone who red and cherished the book long before the movie, those are the things always difficult to digest.<br /><br />As for the actors, I love Kate Winslet as Marianne. She is not given the best script in the world to work with but she still pulls it up gracefully, without too much sentimentality. Alan Rickman is great, a bit old perhaps, but he plays the role beautifully. And Elizabeth Spriggs, she is absolutely fantastic as always.",negative
"I was prepared to laugh throughout this movie like a Mystery Science Theater experiment, but it was just boring. It appears that the producers had many biker enthusiast friends, and from there casually decided to make a movie. <br /><br />It is frequently unwatchable. Lots of footage of the bikers riding on a dirt road, with the same music played repeatedly. Unfortunately, Renee Harmon is barely in the movie. Harmon probably would have livened things up. Perhaps she had other commitments the day this was filmed.<br /><br />Of course, the bikers terrorize a small town. Fights, murder, a cowardly cop, a goofy mechanic, etc. One of the bikers always wears a football helmet, a weak attempt to distinguish him from all the other outlaws.<br /><br />The script has nothing to offer. One scene features a biker assaulting a woman, yelling in the lady's face ""You're all the same! You're all the same!"". We come back to the scene a minute later and he again declares ""You're all the same!"". Couldn't the writer think of something more creative to say??<br /><br />At the end the good guys have killed the bad guys. We also learn that the wedding between middle-aged mechanic Joe and young Susie has been canceled. Susie is going away to college, and we abruptly learn that Joe's wedding is still on (but with a different bride). End.",negative
"I have seen this movie and in all honestly was quite disappointed. And in my opinion this movie lacks heart. I frankly didn't care what happen to the characters by the end of the movie. <br /><br />There was so much there they could have done with the movie that they didn't because they were either so rapped up in trying to be obscure and make some deep comment on life, or trying so hard not to, that the characters and story were completely lost in all of it. I have seen another picture by this director and enjoyed it well enough. But I felt this film lack of the whimsy and heart of the other and I was left wondering what the point was, or if the point of the movie was that it had no point. Honestly, while I didn't feel like tearing my hair out during the movie, I did remorse the lost time on the sad little film.<br /><br />I have no doubt that some people will love this movie, but frankly I didn't.",negative
"My Take: Steven Seagal is obviously too boring to be a lead in an action thriller, even a totally dull one. <br /><br />Remember Steven Seagal? You don't? Don't worry, there's not much to catch up on. After starring in admittedly enjoyable crowd-pleasing films like UNDER SIEGE and EXECUTIVE DECISION, Seagal hits the low grounds of the bad movie abyss. Now, he stars in low-budgeted B-level action vehicles, some of which are made-for-TV ""Movie of the Week"" entries that lost their way to the big screen. HALF PAST DEAD is among these, shall we say, dead action movies. A loud and lousy action film, sloppily directed and lazily written (and worse, badly acted). This is one of those bad movies that I don't need to watch until the ending to know it's bad. I didn't have the guts to have all my braincells die while wasting my time with this. It it this kind of bad films in which you realize, those other films you hate are not bad after all.<br /><br />The plot (and the locale) is completely lifted from a similar picture, Michael Bay's THE ROCK, although similar may not be the word to describe it. Both movies are summer movies, and not meant to be taken so seriously. But in comparison, even THE ROCK (which isn't much in the writing department as much as the lights and sounds) has better characters, a more compelling plot, better action sequences and overall, a more entertaining atmosphere. Although there are action scenes in HALF PAST DEAD, none of them are exciting. All of which are sometimes tedious and predictable.<br /><br />Although predictability seemed to be a welcome asset in summer action films, predictability has never tasted more sour in ones that aren't fun, and HALF PAST DEAD is never really fun, a lot of times it's just a pain in the head (hearing the bad rap music repeat over and over again throughout this film makes me yearn for an aspirin every second I hear them). The acting is horrendously mediocre, the plot is derivative, with no compelling or appealing characters whatsoever. Seagal's character, an undercover agent sent to Alcatraz to stop a criminal mastermind (Morris Chestnut), a very boring villain, is nothing to get excited about. Seagal's character is also provided with a sidekick (played by rap star Ja Rule) and a bunch of amigo inmates, and there's no chemistry going on here.<br /><br />If starring in a series of other forgotten action vehicles (what were those films again?) killed of Seagal's career for good, HALF PAST DEAD is overkill. And audiences be warned: you're invited to feel the pain. Advice: avoid it at all costs.<br /><br />Rating: 0 out of 5.",negative
"I think Dolph Lundgren had potential at being a big action star a la Schwarzenegger, Stallone, and even Van Damme to certain degree. He had some big moments in his career but he also made some poor choices and this is definitely one of them although made later in his career. The strange thing about Jill The Ripper (or Jill Rips...or Tied Up) is that I honestly think they seriously thought they were making a provocative and serious thriller? It shows in the way that they describe it on IMDb, on the DVD case, in the commentaries, and this film is not serious. To call it campy would be a huge understatement. The film tries to be complex and intelligent when in fact it's nothing more than shallow, confusing and gratuitous. On top of that they put Lundgren, who is known for action films, in an attempt at a serious role which makes it even more campy because his range as an actor is pretty limited. The entire film revolves around the kinky sex world and yet they attempt at making it a serious thriller? Just the plot and premise immediately make it a B-Movie Porn at very best.<br /><br />Dolph Lundgren plays disgraced former cop and raging alcoholic Matt Sorenson who decides to play Detective when his brother is murdered. I mean put aside the numerous plot holes that has Lundgren getting free roam to investigate crime scenes, and witnesses and everything else even though he's not a cop anymore and you still have a pretty strange and rather lack luster performance from Lundgren. Danielle Brett is Lundgren's eventual love interest and his brother's widow. Brett plays her role decently enough considering the script and campy story. The supporting cast is huge and no one particularly stands out in their performances unless it's on the negative side such as the absolutely horrible performance by Victor Pedtrchenko who seems to go by several different names in the film, boasts an awful accent and is a really awful villain.<br /><br />I honestly tried to get into the mystery and film and watch closely but there wasn't any reason to because it was all a jumble of ridiculous plot and gratuitous sex games including a downright ridiculously hilarious scene where Lundgren goes under cover and is strung upside down nearly naked. To explain how classy and well done this movie is (sarcasm...sarcasm) the back of the DVD I picked up (it was really cheap) has Lundgren's character listed as ""Murray Wilson"" (not the name of his character in the film.) While somehow Lundgren manages to be usually watchable the film falls flat on it's face trying to be serious. Considering director Anthony Hickox is infamous for really B-Movie Horror flicks it only makes sense even though I think he was really trying to be serious. Hard core cult Lundgren fans will have to see it...no one else should...certainly for any sort of mystery or suspense. 3/10",negative
"There was a great film to be made about Steve Biko. Sadly this wasn't it. Denzel Washington - never the most flexible of actors - is totally unable to convey the great charisma that Biko had. Attenborough's big crowd scenes are laughable. The Soweto massacre wasn't like this, three neat lines of children ( some doing cartwheels!) marching happily into the guns of the soldiers. With Biko dead the film rapidly descends into farce. If the struggle against Apartheid was anything it was a black people's struggle yet somehow we are all supposed to be gripped by the escape of a white man and his family. I'm sure Donald Woods was a decent man and he would be the first to say that Biko was important while he wasn't. Penelope Wilton's accent is pure Hampshire and she seems completely unaware that she is in South Africa at all. at all. The Wood's family dog gets more lines than the black maid. As the family make their escape one the women I saw the film with - incidentally one of only about a dozen black people in a large, full cinema - whispered ""This is like the sound of music."" She had a point.<br /><br />Overall this is a film by a well-intentioned if somewhat inept white liberal about a radical black people's struggle. And really South Africa needs well-intentioned white liberals like it needs a hole in the head.",negative
"TACHIGUI: THE AMAZING LIVES OF THE FAST-FOOD GRIFTERS Japanese title: Tachiguishi Retsuden<br /><br />Director: Mamoru Oshii Featuring: Toshio Suzuki, Mako Hyodo, Kenji Kawai, Shinji Higuchi, Katsuya Terada Narrated by Koichi Yamadera ----------------------------------------<br /><br />Way back in 1995, Mamoru Oshii unleashed his dazzling animation feature Ghost In The Shell, which helped consolidate anime's international acceptance - and also burrowed itself into Andy and Larry Wachowski's overall concept for The Matrix.<br /><br />The movie's sequel, Innocence (2004), was the inaugural Japanese animated film to compete for the Palme d'Or at Cannes, and it left heads spinning as much for its style and innovative effects as for its oft unfathomable plot.<br /><br />Always the trendsetter, Oshii has now presented us with Tachigui: The Amazing Lives Of The Fast-Food Grifters  which has absolutely nothing to do with Ghost In The Shell, nor Japanese anime for that matter.<br /><br />Say hello to Oshii's creation ""superlivemation"": not quite animation, nor exactly live-action. Instead the cast endured somewhere in the vicinity of 30,000 snapshots, which were digitally processed and reconstituted in a deceptively simple paper cut-out fashion reminiscent of Balinese puppetry. The movement itself is a stilted, stop-motion style that echoes sequences from Shinya Tsukamoto's experimental Tetsuo: Iron Man (1988).<br /><br />""I couldn't think of any method but this one,"" said Oshii in a recent interview with The Daily Yomiuri. ""I realized that this project was not suitable for traditional animation.""<br /><br />The cast choice is equally enigmatic. Kenji Kawai - who also composed the superlative soundtrack - appears as a ravenous burger fanatic, while renowned Studio Ghibli producer Toshio Suzuki spends his screen time being murdered in bizarre fashion. Others include Katsuya Terada, who dabbled with Oshii on Blood: The Last Vampire, and Shinji Higuchi - a special effects whiz who's worked on Godzilla movies.<br /><br />Koichi Yamadera's narration sounds like the stuff of a dry NHK documentary  which belies the comic undertone here as well as Yamadera's extensive career voicing stoic anime characters like Spike Siegel in Cowboy Bebop.<br /><br />And the plot itself is a bizarre re-imagining of post-WWII Japan in the context of various fast-food off-shoots - from soba ramen shops to gyudon stand-up bars; American dogs in the heat-up trays of convenience stores to McDonalds- inspired burger-chain restaurants. ""Food is a primal root of desire,"" asserted Oshii, by way of explanation. <br /><br />Thrown into the mix is a new breed of consumer: the fast-food grifters of the title, people who don't like to pay for their tucker and are constantly fine-tuning their elaborate scams to score free munchies. <br /><br />Oshii said his ulterior motive was homage to the ""art"" of eating food on the streets  something still considered a bit of a taboo in this country, and which goes some way toward explaining the use of ""tachigui"" in the title.<br /><br />The director of live-action movies (Avalon, Stray Dog) as well as animation, Oshii has often blurred the definition between the two mediums. The celluloid result here is deposited somewhere in the grey area between both formats.<br /><br />At times the visual experiment here is as exhilarating as it can be irritating. Just don't ask what it's all really supposed to mean; Oshii's films, which are equal parts cerebral and innovative, are often not particularly clear story-wise. Where Oshii succeeds is via a liberal dose of black humor  here you'll find Kentucky Fried Rat, death by hula-hoop, the world's fastest samurai burger chef  and in the movie's very nature of surrealism.<br /><br />This is a man who defers to the influence of filmmakers like Godard and Truffaut, and perhaps owes as much to Andrei Tarkovsky as he does David Lynch. So it shouldn't come as any surprise that at one stage a B-52 bomber does a fly- through in a Yoshinoya look-alike franchise. The 54-year-old writer-director seemed to think this natural. ""The Japan I depicted in the movie may not necessarily be faithful to reality,"" he suggested.<br /><br />Of course. --------------<br /><br />By Andrez Bergen",positive
"How can anyone even begin to like this film is really beyond me.<br /><br />The idea? It has none. ""A guy fell apart"". That's the idea. Wow. An environment was slowly killing him... now THAT's original and worth watching.<br /><br />This is the first Fasbinder's film I've seen... I've heard that he's a genius of mise-en-scene, but I've seen student films with more attention, inspiration, idea, and craft than this... this.... this nothing. It has nothing!<br /><br />Each and every shot is too long. There's so much emptiness in them... The acting's horrible. You can see the actors had no preparation at all, no understanding of their roles, not even an attempt at showing emotions... it's so... superficial... The lines are so explicative that you could removed 90% of them and still have the same crappy film. Tempo? Who cares about it. Atmosphere, dynamics, that's for pussies! One shot per scene, 80% of the time people staring unrealistically, having no idea how to represent emotions and importance of the moment besides hollow staring at the camera or one another... EDiting? All rules of editing have been disregarded with no pa pay-off of any kind... Photography? Half of the shots have reflection in them, and crappy lighting with no stylization of any kind. Shadows, play of shadows... who needs that? We need a guy pissing, drinking, hitting his wife like he's... like he's acting. We need a bunch of close ups of a not-so-beautiful woman... we need an amateurish climax of his capture by an unconvincing arabian torturer... This film has so much wrongs that it isn't worth the no-budget it had.<br /><br />Frankly, I haven't seen a film this bad since American Pie 5. Yup. That bad.<br /><br />I've just started watching his ""Veronica Foss"" movie, which seems much better, based on the first 15 minutes (since it does have a hint of directing and artistic idea, unlike this crap), so I won't argue that Fasbinder's clueless.... but this.... this film SUCKS!",negative
"I honestly found Wicked Little Things to be a very cool and fun horror film.My friend had given this to me, and I really saw it as nothing but a crappy low class gory horror film.Then after I watched this I was wrong it was very cool and very good and while Ill say it seemed a bit unnecessary at times, and while it may not be the best horror film ever its still good.I thought the acting was very good especially from the girl who plays the mother(she seemed very believable and to me very likable).And while it is a little cliché'e and over the top its good.Overall I gotta say if the Afterdark Horror Fest films are not your style then you should have no business watching this, but if you like horror films, or a wicked little time than check out Wicked Little Things. 8.0 out of 10 stars",positive
"i didn't even bother finishing the movie because i was so bored i thought i was going to pass out i was watching it in the movie theaters and me and my friends just got tired so we got up and left to another movie if i ever have to sit through 2 min. of that movie again i think I'm going to shoot myself...and i do know the whole entire movie because my friend told me what happened at the end and i wasn't surprised at all i mean who didn't know she was going to do the right thing and let him be happy i mean for real you would have to be a complete idiot not to know that. i know i didn't miss anything and if somebody ask's me to see that movie i would say ""over my dead body"".",negative
"Every time I think about this film I feel physically ill. To read such a great book and later discover there's a film of it was a great feeling. Years later and imagine my joy at switching on the sci-fi channel and finding it starts in just 5mins!!! Up go the titles and then uggg. If just a couple of things had changed OK. Everything is changed. Numerous characters are removed entirely new rubbish ones are added. The main hero is shrunk and de-aged by about 30 years, and hilariously his girlfriend/wife is now his mother! Even the dog is reduced to sub-lassie capabilities. This is truly appalling cinema at its absolute worst. I would quite happily remove my own toenails with pliers rather than sit through another horrific viewing, and I urge anyone thinking of watching this - please don't. If you own a copy burn it now, right now and think how much better your life would have been had this celluloid insult never occurred.",negative
"""Seed"" is torture porn...no doubt about it. But, strangely, Uwe Boll has written, produced, and directed a more polished film than any other he has made in recent memory.<br /><br />Every time I watch a Boll film, I feel that some pages of the script must have gone missing. There are simply huge gaps in the story and dialogue. Of course, nothing makes much sense, either. The films are somewhat surreal in this respect.<br /><br />*****SPOILERS***** <br /><br />Why do the six cops who go to arrest Seed split up and go their separate ways when they get to the darkened residence, unlike real cops who would enter and clear the house in pairs or by threes? Why don't the cops ever use their radios? How can the bodies decay so quickly, a process that would normally take many months? (I KNOW it's time-lapse photography...but Seed would never be able to stay on schedule killing people if he always waited around for the previous victim to decay to the point shown.) How come Seed gets to wear bib-overalls and a mask while he's waiting on death row instead of typical prison uniforms? How can Seed enter a maximum security prison, stroll around the cell block, and then walk out again without being stopped or even noticed? If nearly 80 people (according to some newspaper articles shown in the movie) have been murdered, why is there only one investigator working on the case? Why did the investigator suddenly decide that he should go look for Seed at Seed's house, where he was originally arrested and where he murdered his victims? (Didn't he think of doing this sooner?) Why does the police detective go it solo, without back-up and without even letting dispatch know what he was doing and where he was headed?<br /><br />This is particularly frustrating when Boll obviously goes far out of his way to make sure we understand why the electric chair fails to work properly. He spends several screen minutes in setting this up, when he could have spent them making other aspects of the film at least a bit more logical.<br /><br />*****END SPOILERS***** <br /><br />In short, the film just sort of serves as a framework for a few assorted scenes (perhaps Boll would think of these as his ""visions"") of a brutal death by bludgeoning, gunshots to the head, execution by electrocution, and the skinning of live animals raised for their pelts. (The opening scenes of animals being skinned were indeed unnecessary and disturbing, but I understand their purpose in the context of the film.) The centerpiece is undoubtedly the bludgeoning death of a middle-aged woman by Seed using a hatchet. It's obvious that much time was spent on this and it vaguely reminds me of the classic scene in ""Reservoir Dogs"", though without the Steely Dan soundtrack.<br /><br />Is this a good movie? No. Is it worth seeing? Only if you are a dedicated fan of the torture porn genre or if you are absolutely determined to see a sample of torture porn. As I said at the start of this review, even though this movie is pretty disgusting and can be sickening at points, it is truly much more competent than most of Boll's movies. Perhaps he will continue to improve as a filmmaker. I can only hope that he progresses beyond torture porn and continues more in the vein of ""Postal"".",negative
